%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-03-23 10:00:00,2024-03-23,2024-03-23,10:00:00,23.03.2024 10:00,SK Týniště nad Orlicí (5),RMSK Cidlina Nový Bydžov B (1),V,1 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Týniště - atletický stadion,
2024-03-23 11:30:00,2024-03-23,2024-03-23,11:30:00,23.03.2024 11:30,FC Vrchlabí (4),FC Nový Hradec Králové (2),V,0 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Vrchlabí, UMT",
2024-03-23 11:30:00,2024-03-23,2024-03-23,11:30:00,23.03.2024 11:30,TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),TJ Lánov (7),D,1 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Dvůr Králové nad Labem,
2024-03-23 12:15:00,2024-03-23,2024-03-23,12:15:00,23.03.2024 12:15,FC Spartak Rychnov nad Kněžnou (8),FK Jaroměř (3),V,0 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Rychnov nad Kněžnou, UMT",
2024-03-29 10:30:00,2024-03-29,2024-03-29,10:30:00,29.03.2024 10:30,FC Nový Hradec Králové (2),SK Týniště nad Orlicí (5),V,11 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2024-03-30 09:30:00,2024-03-30,2024-03-30,09:30:00,30.03.2024 09:30,FC Spartak Rychnov nad Kněžnou (8),TJ Lánov (7),V,2 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Rychnov nad Kněžnou,
2024-03-30 10:00:00,2024-03-30,2024-03-30,10:00:00,30.03.2024 10:00,RMSK Cidlina Nový Bydžov B (1),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,9 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Hlušice,
2024-03-30 14:00:00,2024-03-30,2024-03-30,14:00:00,30.03.2024 14:00,FK Jaroměř (3),FC Vrchlabí (4),V,2 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Jaroměř,
2024-04-06 10:00:00,2024-04-06,2024-04-06,10:00:00,06.04.2024 10:00,SK Týniště nad Orlicí (5),FK Jaroměř (3),V,0 : 6 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Týniště - Olšina,
2024-04-06 11:00:00,2024-04-06,2024-04-06,11:00:00,06.04.2024 11:00,TJ Lánov (7),RMSK Cidlina Nový Bydžov B (1),V,1 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Nová Paka, UMT",
