%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-06-09 14:15:00,2024-06-09,2024-06-09,14:15:00,09.06.2024 14:15,TJ Sokol Malé Svatoňovice (6),TJ Slavoj Teplice nad Metují (5),V,13 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2024-06-09 15:00:00,2024-06-09,2024-06-09,15:00:00,09.06.2024 15:00,Bílá Třemešná/Dvůr Králové B (8),SK Červený Kostelec B (2),D,3 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2024-06-09 15:15:00,2024-06-09,2024-06-09,15:15:00,09.06.2024 15:15,TJ Sokol Malé Svatoňovice (6),TJ Slavoj Teplice nad Metují (5),V,11 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2024-06-09 16:00:00,2024-06-09,2024-06-09,16:00:00,09.06.2024 16:00,Bílá Třemešná/Dvůr Králové B (8),SK Červený Kostelec B (2),D,8 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,B.Třemešná,
2024-05-14 17:00:00,2024-05-14,2024-05-14,17:00:00,14.05.2024 17:00,Hostinné/Rudník (4),TJ Lánov (1),V,5 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2024-05-14 18:00:00,2024-05-14,2024-05-14,18:00:00,14.05.2024 18:00,Hostinné/Rudník (4),TJ Lánov (1),V,5 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2024-06-06 17:00:00,2024-06-06,2024-06-06,17:00:00,06.06.2024 17:00,TJ Slavoj Teplice nad Metují (5),FK Náchod dívky (7),V,0 : 1 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2024-06-06 18:00:00,2024-06-06,2024-06-06,18:00:00,06.06.2024 18:00,TJ Slavoj Teplice nad Metují (5),FK Náchod dívky (7),V,0 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Slavoj Teplice n.M.,
2024-06-15 10:00:00,2024-06-15,2024-06-15,10:00:00,15.06.2024 10:00,TJ Sokol Malé Svatoňovice (6),Bílá Třemešná/Dvůr Králové B (8),V,1 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2024-06-15 10:00:00,2024-06-15,2024-06-15,10:00:00,15.06.2024 10:00,Fotbalový klub Mostek (3),SK Červený Kostelec B (2),V,7 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
2024-06-15 11:00:00,2024-06-15,2024-06-15,11:00:00,15.06.2024 11:00,TJ Sokol Malé Svatoňovice (6),Bílá Třemešná/Dvůr Králové B (8),V,0 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,M.Svatoňovice,
2024-06-15 11:00:00,2024-06-15,2024-06-15,11:00:00,15.06.2024 11:00,Fotbalový klub Mostek (3),SK Červený Kostelec B (2),V,3 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Mostek,
