%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-05-01 10:00:00,2024-05-01,2024-05-01,10:00:00,01.05.2024 10:00,Sportovní klub Sobotka (5),TJ Sokol Jičíněves (2),V,3 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-05-01 10:00:00,2024-05-01,2024-05-01,10:00:00,01.05.2024 10:00,TJ Sokol Chomutice (4),FK Poříčí u Trutnova (3),V,11 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2024-05-04 10:00:00,2024-05-04,2024-05-04,10:00:00,04.05.2024 10:00,TJ Sokol Chomutice (4),TJ Sokol Jičíněves (2),V,1 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2024-05-04 10:00:00,2024-05-04,2024-05-04,10:00:00,04.05.2024 10:00,Sportovní klub Sobotka (5),Sokol Provodov (1),V,4 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-05-04 11:30:00,2024-05-04,2024-05-04,11:30:00,04.05.2024 11:30,FK Poříčí u Trutnova (3),Sokol Vítězná (8),V,5 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2024-05-05 13:00:00,2024-05-05,2024-05-05,13:00:00,05.05.2024 13:00,Košťálov-Libštát/Nová Ves (6),Bílá Třemešná/Dvůr Králové (7),V,3 : 0 (K) (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Nová Ves n. P.,
2024-05-11 10:00:00,2024-05-11,2024-05-11,10:00:00,11.05.2024 10:00,FK Poříčí u Trutnova (3),TJ Sokol Chomutice (4),V,2 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2024-05-11 13:00:00,2024-05-11,2024-05-11,13:00:00,11.05.2024 13:00,TJ Sokol Jičíněves (2),Sportovní klub Sobotka (5),V,8 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-05-12 10:30:00,2024-05-12,2024-05-12,10:30:00,12.05.2024 10:30,Sokol Provodov (1),Košťálov-Libštát/Nová Ves (6),V,2 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2024-05-12 13:00:00,2024-05-12,2024-05-12,13:00:00,12.05.2024 13:00,Sokol Vítězná (8),Bílá Třemešná/Dvůr Králové (7),V,7 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
